id,name_vn,sect_tier,elements,faction,min_realm,entry_condition,quest_entry,role,location,description,lore
cloud_peak,Vân Đỉnh Tông,minor,Thổ,human,qi_refining,linh_can_match,,tank_fortress,Vân Đỉnh Sơn,"Tông môn luyện thể và phòng thủ cực nặng theo phép Hậu Thổ Quy Nguyên — lấy thân làm núi, lấy ý chí làm thành trì. Không tấn công, không phô trương, chỉ đứng vững khi tất cả sụp đổ.","Lập sau trận Lũ Linh Khí năm 26 để bảo vệ tản tu sống sót. Tiểu tông nhỏ nhưng hiếm khi có đệ tử chết trận."
scarlet_flame,Liệt Diệm Cốc,minor,Hỏa,human,qi_refining,linh_can_match,,burst_offense,Liệt Diệm Cốc,"Cốc môn hỏa pháp bộc phát. Đệ tử học cách nén linh lực đến điểm tới hạn rồi giải phóng toàn bộ trong một đòn duy nhất — sống chết trong chớp mắt, không có đòn thứ hai.","Xây trên miệng núi lửa ngủ. Vị Nguyên Anh lạ mặt xuất hiện trong Hỏa Linh Bí Cảnh năm 41 tương truyền từng là trưởng lão cốc này."
wind_shadow,Thanh Ảnh Các,minor,Mộc,human,qi_refining,linh_can_match,,speed_assassin,Thanh Ảnh Lâm,"Các môn thân pháp và ẩn tung. Đệ tử học hòa mình vào bóng cây bóng gió — di chuyển không tiếng động, xuất hiện và biến mất như ảo ảnh giữa ban ngày.","Không có trên bất kỳ bản đồ nào. Tuyển đệ tử bằng cách để thử thách tự tìm đến — ai không tìm được thì không đủ tư cách."
deep_current,Trầm Lưu Môn,minor,Thủy,human,qi_refining,linh_can_match,,control_defense,Trầm Lưu Xuyên,"Môn phái thủy pháp chuyên khống chế và bẫy địch. Đệ tử dùng dòng nước linh cuốn trói, làm chậm và phong ấn từng bước chân kẻ thù — không giết ngay mà bào mòn dần.","Tông môn nhỏ ven sông thiêng. Không nổi tiếng nhưng đệ tử có tỉ lệ sống sót trong chiến tranh cao bất thường."
iron_forge,Thiết Lư Hội,minor,Kim,human,qi_refining,linh_can_match,,single_target,Thiết Lư Trấn,"Hội tu luyện kiếm pháp và luyện khí Kim hệ. Không hào nhoáng — chỉ rèn đi rèn lại một đòn kiếm cho đến khi hoàn hảo tuyệt đối. Một đòn là đủ.","Xuất phát từ phường thợ rèn cổ thời Hùng Vương. Không tự gọi là tông môn — chỉ là hội thợ rèn biết tu luyện."
thunder_judgement,Lôi Phạt Điện,major,Kim|Hỏa,human,core_formation,quest_and_realm,"Tiêu diệt 3 kẻ địch thuộc lore_tag ma_dao",execution,Lôi Phạt Sơn,"Điện môn lôi pháp trấn sát. Kết hợp Kim hệ phá giáp với Hỏa hệ thiêu đốt để diệt trừ tà đạo. Không nhận kẻ chưa từng đổ máu — chỉ nhận kẻ đã chứng minh được bản thân.","Thành lập sau Huyết Tế Tà Đàn năm 74. Thù địch không đội trời chung với Huyết Uyên Ma Điện."
poison_shadow,Độc Ảnh Song Tông,major,Mộc|Thủy,human,core_formation,quest_and_realm,"Thắng 5 trận liên tiếp mà không bị tử vong — chứng minh khả năng sinh tồn bền bỉ",debuff_poison,Độc Vụ Cốc,"Song hệ kỳ môn kết hợp Mộc hệ luyện độc từ linh thảo với Thủy hệ khuếch tán và thẩm thấu. Đệ tử không thắng bằng sức mạnh mà bằng bền bỉ, bẫy độc và kiên nhẫn.","Nguyên là Độc Vụ Cốc và Trầm Ảnh Viện — hai tông sáp nhập sau đại chiến Thanh Nguyệt Lâm vì không còn đủ người tồn tại riêng."
golden_crane,Kim Hạc Song Kiếm Tông,major,Kim|Mộc,human,core_formation,quest_and_realm,"Đánh bại NPC thử luyện của tông trong vòng 5 lượt",mobility_duelist,Bạch Vân Sơn,"Kết hợp kiếm ý Kim hệ sắc bén với thân pháp Mộc hệ nhẹ nhàng. Kiếm pháp mô phỏng cánh hạc — nhanh như gió, chính xác như lưỡi dao, đẹp đến mức kẻ thù chết mà không kịp đau.","Lập bởi một kiếm tiên nhân tộc và một vũ sư yêu tộc sau hòa ước Thanh Lâm. Tông môn duy nhất có cả đệ tử nhân-yêu từ ngày đầu."
star_abyss,Tinh Uyên Đài,major,Thổ|Thủy,human,core_formation,quest_and_realm,"advance_months 6 liên tục không vào combat — chứng tỏ tâm tính điềm tĩnh không bị cuốn vào tranh đấu",strategy_support,Tinh La Đài,"Kết hợp tinh tượng học Thổ hệ với huyền thuật thủy kính Thủy hệ. Đệ tử đọc thiên cơ từ mặt nước phẳng lặng và dự đoán sự kiện trước nhiều năm. Biết trước không có nghĩa là thay đổi được.","Đài tồn tại trước khi bất kỳ tông môn nào được lập. Tương truyền xây bởi người đã nhìn thấy Thiên Ma Đại Chiến — từ ngàn năm trước."
void_flame,Hư Hỏa Không Minh Tông,major,Thủy|Hỏa,human,core_formation,quest_and_realm,"Có ít nhất 1 kỹ năng Thủy hệ và 1 kỹ năng Hỏa hệ trong technique_slots đồng thời",space_control,Không Minh Giới,"Nghịch lý nhất tu giới: Thủy hệ không gian dịch chuyển kết hợp Hỏa hệ bùng phát. Đệ tử mở cổng không gian rồi đặt hỏa trận bên trong — địch bước vào là chết, không kịp hiểu tại sao.","Từng bị coi là tà đạo vì dùng hai hệ tương khắc. Được công nhận hợp pháp sau khi đệ tử một mình chặn cánh quân ma đạo trong đại chiến Thanh Nguyệt."
yao_moon_alliance,Nguyệt Yêu Liên Minh,major,Thủy|Mộc,yao,core_formation,quest_and_realm,"Đạt quan hệ respect >= 60 với ít nhất 1 NPC thuộc faction yao",illusion_support,Nguyệt Dao Lâm,"Đại tông yêu tộc kết hợp huyết mạch Thủy hệ với sinh cơ Mộc hệ. Đệ tử tu theo chu kỳ trăng — mạnh nhất đêm rằm, yếu nhất đêm không trăng. Đêm không trăng là đêm nguy hiểm nhất.","Hình thành sau Nguyệt Yêu Triệu Hội năm 97. Mở cửa cho nhân tộc theo lệnh Yêu Hoàng — quyết định gây tranh cãi nhất lịch sử yêu tộc."
ancient_beast_palace,Vạn Yêu Cổ Điện,major,Mộc|Thổ,yao,core_formation,quest_and_realm,"Tiêu diệt 5 kẻ địch thuộc lore_tag yeu_toc và đạt quan hệ respect >= 40 với NPC Vạn Yêu Cổ Điện",beast_empire,Vạn Yêu Sơn,"Cổ điện trực thuộc Yêu Hoàng kết hợp Mộc hệ điều khiển yêu thú với Thổ hệ thống trị hoang vực. Đệ tử phải chứng minh cả sức mạnh lẫn sự tôn trọng với yêu tộc — thiếu một trong hai đều không được nhận.","Tổ đình yêu tộc từ trước khi nhân tộc xuất hiện. Một số trưởng lão bỏ điện ra đi khi nghe tin mở cửa cho nhân tộc."
blood_abyss,Huyết Uyên Ma Điện,major,Hỏa|Kim,mo,core_formation,quest_and_realm,"Thắng 1 trận chiến khi HP xuống dưới 20%",lifesteal_rampage,Huyết Uyên,"Ma điện huyết đạo kết hợp Hỏa hệ thôn phệ sinh cơ với Kim hệ chém phá phòng ngự. Đệ tử càng bị thương càng mạnh hơn — không có khái niệm phòng thủ, chỉ có tấn công và hủy diệt đến hơi thở cuối.","Ma điện duy nhất công khai tuyển đệ tử. Thực ra là bẫy — huyết ấn biến đệ tử thành quân cờ của Ma Tướng khi đến thời điểm. Nhiệm vụ gia nhập chính là nghi lễ trói buộc."
