id,name_vn,trigger_year,trigger_month,description,effect_type,effect_value,affected_faction,story_arc,arc_role,chain_next,lore_tag
spirit_awakening,Linh Mạch Chấn Động,5,3,"Long mạch dưới chân Tản Viên Sơn rung chuyển sau nghìn năm ngủ yên. Linh khí cả vùng dày đặc gấp đôi — dấu hiệu một thời đại mới bắt đầu. Người ta kháo nhau: lần trước long mạch động là lúc Hùng Vương khai quốc.",resource_bonus,15,all,main,opening,mist_market,long_mach
mist_market,Sương Thị Khai Mở,13,1,"Chợ sương mù Bạch Sa Độ mở cửa tại biên giới nhân-yêu. Thương nhân ba tộc tụ họp dưới đèn linh thạch. Tin đồn lan rằng có kẻ bán ký ức — và có người mua.",resource_bonus,10,human,sub_trade,opening,sky_pavilion,giao_thuong
spirit_rain,Linh Vũ Thất Nhật,22,4,"Trời đổ linh vũ suốt bảy ngày. Cây cỏ đơm hoa linh thảo mọc tràn. Tu sĩ Mộc hệ đột phá hàng loạt. Người già nhìn trời lắc đầu — mưa quá thịnh ắt sinh lũ.",resource_bonus,12,human,sub_nature,rising,spirit_flood,linh_vu
spirit_flood,Lũ Linh Khí,26,9,"Linh khí tích tụ không thoát hóa lũ linh cuốn phăng nhiều tiểu tông. Kẻ tu vi thấp bị nghiền nát từ bên trong. Những kẻ sống sót lập ra Liên Minh Tiểu Tông — tổ chức đầu tiên của tản tu.",resource_penalty,-8,human,sub_nature,climax,,linh_vu
flame_trial,Hỏa Linh Bí Cảnh Xuất Thế,41,6,"Bí cảnh Hỏa Linh hiện hình trên đỉnh Xích Diệm Phong. Xích Hỏa Các giết hàng trăm tản tu để độc chiếm. Một vị Nguyên Anh lạ mặt xuất hiện nhìn cảnh tàn sát — rồi cười nhạt và biến mất.",sect_power,12,human,sub_fire,rising,flame_war,bi_canh
beast_tide,Yêu Triều Bạo Động,53,9,"Hàng vạn yêu thú từ Vạn Cốt Sơn tràn xuống nhân giới. Không ai biết điều gì kích động. Sau này tìm thấy mảnh linh phù cắm giữa rừng khắc ký hiệu Thiên Các — thương hội mới mở chưa đầy năm.",war,-15,human,main,rising,border_truce,yeu_toc
flame_war,Bí Cảnh Phân Tranh,58,3,"Ba phái đánh nhau mười bảy năm quanh Hỏa Linh Bí Cảnh. Vị Nguyên Anh lạ mặt năm xưa tái xuất — lần này dẫn một nhóm tản tu vào bí cảnh thẳng qua cửa đang bị bao vây. Bí cảnh sau đó tự đóng.",sect_power,-5,human,sub_fire,resolution,,bi_canh
border_truce,Hòa Ước Thanh Lâm,61,3,"Nhân tộc và yêu tộc lần đầu ngồi lại tại Thanh Lâm Đình. Hòa ước ký bằng huyết. Kẻ chứng kiến là vị thương nhân già của Thiên Các — không ai mời ông ta đến nhưng ông đã ở đó từ trước.",sect_power,8,yao,main,turning,yao_moon,giao_thuong
blood_ritual,Huyết Tế Tà Đàn,74,5,"Ba ngôi làng im lặng hoàn toàn trong đêm không trăng. Quan binh thấy vòng trận vẽ bằng máu. Điều tra cho thấy các làng này nằm đúng trên ba long mạch phụ của Tản Viên Sơn — ai đó đang dùng chúng làm lễ vật.",war,-12,mo,main,rising,mo_shadow,ma_dao
yao_moon,Nguyệt Yêu Triệu Hội,97,8,"Các trưởng lão yêu tộc tề tựu tại Vạn Yêu Cốc dưới ánh trăng xanh. Họ lập minh ước khắc xuống đá thiêng. Người ta nói: một trong những trưởng lão đó không phải yêu tộc thuần chủng — có mùi ma đạo thoáng qua.",sect_power,18,yao,main,turning,ancient_realm,yeu_toc
ancient_realm,Cổ Cảnh Kim Đan Khai Môn,119,3,"Cổ cảnh từ thời Hùng Vương thứ mười bảy hiện ra giữa Hồ Tây. Bên trong có bộ xương tu sĩ Kim Đan tay cầm quyển công pháp dở dang — và một bức thư gửi cho kẻ sẽ đến sau nghìn năm.",realm_open,1,human,sub_ruins,opening,immortal_ruins,bi_canh
dragon_bone,Long Cốt Xuất Thế,148,11,"Ngư dân Bắc Hải kéo lên khúc xương dài ba trượng phát lam quang. Các đại phái tranh đoạt ác liệt — mười bảy người chết trong ba ngày. Cuối cùng xương biến mất qua đêm. Nơi nó nằm giờ là vùng băng vĩnh cửu.",resource_bonus,22,human,sub_north,rising,ice_seal,long_mach
sky_pavilion,Thiên Các Khuynh Đảo Linh Thạch,183,7,"Thiên Các mua đứt toàn bộ tuyến buôn linh thạch vùng đông vực trong ba tháng. Giá linh thạch tăng gấp đôi. Một số trưởng lão đại phái bí mật tiếp xúc Thiên Các — không ai biết nội dung cuộc gặp.",economy_shift,10,human,sub_trade,climax,spirit_auction,giao_thuong
ice_seal,Hàn Băng Phong Ấn,196,12,"Vùng đất rộng lớn phía bắc bị phong ấn bởi luồng băng hàn cổ xưa. Bên trong còn nguyên một thành trì bị đóng băng — người trong thành vẫn đứng nguyên tư thế sống như thể thời gian ngừng lại.",resource_penalty,-10,human,sub_north,climax,,long_mach
spirit_auction,Thiên Bảo Đại Hội,217,4,"Thiên Các mở đấu giá lớn nhất trăm năm. Viên đan dược bí ẩn được mua bởi người đeo mặt nạ bạch cốt. Khi phiên đấu giá kết thúc người ta nhận ra: tất cả các giao dịch đều dẫn đến cùng một người mua.",economy_shift,15,human,sub_trade,resolution,,giao_thuong
border_war,Biên Giới Đại Chiến Thanh Nguyệt,247,9,"Hòa ước Thanh Lâm phá vỡ. Nhân-yêu giao chiến tại Thanh Nguyệt Lâm. Kẻ châm ngòi là một tu sĩ nhân tộc giết sứ giả yêu tộc — về sau xác nhận kẻ đó là đệ tử ngầm của ma đạo.",war,-14,yao,main,climax,border_scar,giao_chien
border_scar,Vết Thương Thanh Nguyệt,253,1,"Thanh Nguyệt Lâm trở thành vùng đất chết. Bách Quỷ Dạ Hành bắt đầu từ đây — oan hồn tích tụ qua năm tháng. Người ta dựng bia đá khắc tên mười vạn người chết: cả nhân tộc lẫn yêu tộc.",resource_penalty,-6,human,main,falling,ghost_night,giao_chien
phoenix_fire,Phượng Viêm Tái Sinh,277,2,"Dị hỏa cổ đại thức tỉnh trong Hỏa Vực — đúng vị trí vị Nguyên Anh lạ mặt năm xưa biến mất. Ngọn lửa phượng hoàng bùng cháy bảy đêm. Có người nhìn thấy bóng người trong lửa cúi đầu chào rồi tan biến.",resource_bonus,20,human,sub_fire,resolution,,bi_canh
ghost_night,Bách Quỷ Dạ Hành,358,10,"Đêm trăng máu hàng trăm oan hồn Thanh Nguyệt Lâm xuất hiện cùng lúc. Chúng không tấn công — chỉ đứng nhìn về phía bắc. Những ai hiểu địa lý nhận ra: chúng đang nhìn về Hàn Băng Phong Ấn.",war,-9,human,main,turning,heaven_crack,ma_dao
mo_shadow,Ma Ảnh Thâm Nhập,327,12,"Một số trưởng lão đại phái hành xử khác thường — tu vi tăng đột biến mắt ánh sắc tím. Điều tra cho thấy tất cả đều từng tham dự Thiên Bảo Đại Hội năm 217. Viên đan dược bí ẩn là mồi nhử.",war,-10,mo,main,rising,dark_plague,ma_dao
heaven_crack,Thiên Khung Rạn Nứt,413,6,"Khe nứt không gian mở ra giữa bầu trời ngay phía trên Hàn Băng Phong Ấn. Qua khe nứt thấy thành trì bị đóng băng năm xưa — nhưng bên trong đã trống. Ai đó đã ra ngoài từ lúc nào không biết.",realm_open,2,human,sub_north,resolution,,bi_canh
spirit_awakening_2,Linh Mạch Tản Viên Tái Chấn,497,3,"Long mạch Tản Viên Sơn rung chuyển lần thứ hai — dữ dội hơn lần trước. Lần này không có điềm lành. Người đọc sử sách nhận ra: chu kỳ trước kết thúc bằng chiến tranh hủy diệt. Chu kỳ này đang đến gần điểm cuối.",resource_bonus,18,all,main,turning,yao_emperor,long_mach
dark_plague,Hắc Ôn Ma Dịch,557,1,"Dịch khí ma đạo bùng phát tại năm thành cùng lúc — chính xác tại năm thành từng diễn ra Thiên Bảo Đại Hội và các giao dịch ngầm năm 217. Kẻ lên kế hoạch đã chờ ba trăm bốn mươi năm.",resource_penalty,-15,human,main,climax,blood_moon,ma_dao
blood_moon,Huyết Nguyệt Nghi Lễ,563,7,"Ma tu hoàn thành đại nghi lễ. Trên bầu trời xuất hiện một con mắt nhìn xuống ba ngày. Sau đó Hàn Băng Phong Ấn phía bắc tan chảy hoàn toàn — thứ gì đó đã được giải phóng từ bên trong.",war,-18,mo,main,climax,mo_general,ma_dao
yao_emperor,Yêu Hoàng Giáng Lâm,589,8,"Yêu Hoàng thức tỉnh tại Vạn Yêu Cốc. Điều kỳ lạ: vị trưởng lão yêu tộc có mùi ma đạo năm 97 chính là Yêu Hoàng đang tỉnh giấc — ông ta chưa bao giờ thực sự ngủ yên.",sect_power,28,yao,main,turning,yao_ultimatum,yeu_toc
beast_tide_2,Yêu Triều Tái Phát,634,6,"Yêu Hoàng xua yêu thú xuống nhân giới lần thứ hai — lần này không phải bạo loạn mà là thông điệp có chủ ý. Mục tiêu tấn công toàn bộ là đại phái từng ký Hòa Ước Thanh Lâm.",war,-20,human,main,rising,yao_ultimatum,yeu_toc
immortal_ruins,Tiên Phủ Tàn Tích Hiện Thế,703,9,"Tàn tích tiên phủ thời Hùng Vương khai quốc rơi xuống. Bên trong mười hai gian phòng công pháp thất truyền — và một gian thứ mười ba không ai mở được. Bức thư trong cổ cảnh Kim Đan năm 119 nhắc đến gian này.",realm_open,3,human,sub_ruins,climax,,bi_canh
mo_general,Ma Tướng Hiện Thế,761,3,"Ma Tướng cổ đại thoát phong ấn. Đây chính là thứ được giải phóng khỏi Hàn Băng Phong Ấn sau nghi lễ Huyết Nguyệt. Nó đã ngủ vùi trong băng từ hai trăm năm trước khi bị đóng băng vào đó.",war,-22,mo,main,rising,heaven_war,ma_dao
yao_ultimatum,Yêu Hoàng Tuyên Chiến,819,5,"Yêu Hoàng gửi tối hậu thư đến bảy đại phái. Đính kèm là bằng chứng: chính ma đạo đã cài người kích động Yêu Triều Bạo Động năm 53 — hòa ước Thanh Lâm được xây trên nền tảng dối trá.",war,-15,yao,main,climax,heaven_war,giao_chien
heaven_war,Thiên Ma Đại Chiến,897,12,"Chính ma hai đạo bùng nổ — nhưng thực ra đây là cái bẫy ma đạo giăng ra từ ba trăm năm trước. Yêu Hoàng và các đại phái đánh nhau trong khi Ma Tướng thu thập năng lượng từ cả hai phía. Bầu trời nứt vỡ.",war,-35,all,main,climax,war_aftermath,giao_chien
war_aftermath,Thiên Hạ Sau Đại Chiến,953,6,"Trung châu tan hoang. Hơn nửa đại phái biến mất. Ma Tướng cũng mất tích — không ai biết nó đã đủ năng lượng để làm gì. Người sống sót xây dựng lại. Đây là thế giới người chơi đang sống. Gian phòng thứ mười ba vẫn chưa mở.",resource_bonus,30,all,main,resolution,,lich_su
